huc,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
HUC180400030702,190.451475306953,812.874373515491,476.973747043702,0.289434732239605,0.185962075729205,0.00519064767370018,185.962075729205,0.164731741267533,3.26810957301895,2.98108591902314,3.66902882341309,2.47876248846749,3.9503993893412,22,6
HUC180400030801,34.3539250298802,57.2979846484557,5.28545886183245,0.00679268829875898,0.0500226459170952,0.000462940956257039,50.0226459170952,0.084049354127372,3.18633296620952,0.310909344813674,0.214291091576029,2.45516071258878,3.9127852809091,16,1
HUC180400030802,131.363658824011,3764.64539262598,58.5623188946765,1.20576820883501,0.294024217902479,0.00500047651204414,294.024217902479,0.483007908512644,8.14211178794983,3.44484228792215,4.71713418779393,28.0746232650441,34.8421595218474,241,108
HUC180400030803,97.5644744454743,3137.83345280999,55.9626887810957,1.58241735416425,0.176131080447928,0.0142972985018611,176.131080447928,0.258594829066069,8.23041994874755,3.29192286947622,3.47805275817523,19.5816453157639,24.3019043693304,553,439
HUC180400030901,211.129567974721,9511.01035373821,51.2433410445243,2.69900057835812,0.31107417786401,0.0141293590453126,311.07417786401,0.098445507074532,1.38641816410141,3.28568421958998,5.71448777908682,39.7235201895537,39.7519588943786,597,222
HUC180400030902,126.025698161507,3452.66557041099,26.2426162657886,0.940658688315913,0.224582974796527,0.00553882836431296,224.582974796527,0.137194797458064,2.4751492731166,1.54472251930508,17.2308609509318,17.5692293858394,17.5818074787707,544,68
HUC180400030903,205.020547947632,556.836918075971,4.97042101244665,0.0605933045671141,0.18799140600802,0.0014690061210566,187.99140600802,0.00201184320802943,0.00475526576443319,0.0808614117798165,0.777059896432639,0.0106430270792592,0.337844508257374,0,0
HUC180400030904,487.004156977962,3070.07797112315,57.7096837041641,0.7500127399567,0.579642381256422,0.00939469654184297,579.642381256422,0.0865485188218662,1.23535852863199,1.81252299517499,1.49810701391247,44.7361889179566,44.7682162726714,78,148
HUC180400030905,180.19068794745,492.268631073266,23.5446161464662,0.0350575978969628,0.165646576558527,0.000791593016318081,165.646576558527,0.0157664736418202,0.188203736698101,0.1526817570582,0.16751263798931,1.81414525329539,1.81544402896084,0,1
HUC180400030906,839.499915838115,746.422958950095,28.4197899447709,0.17387832941501,1.42216825243377,0.131759645440402,1422.16825243377,0.0727627730600482,0.154690732127255,0.107350226646598,1.43643926985097,0.0433517642744547,0.448516588252176,17,0
HUC180400030907,919.206540164067,4262.57554510313,749.012473994007,6.44687970933253,1.54391697175177,0.0129754177910456,1543.91697175177,0.681517968831541,60.0126276516248,20.9418589187301,50.9784679964516,250.052615215103,310.329119145388,806,93
HUC180400091305,1042.64163734871,5871.80037644712,152.223384922051,1.97397085989782,1.59904176191602,0.00367981541033189,1599.04176191602,1.34830807408013,9.00177984897036,2.86047527565645,52.1558530239432,37.5074160373765,46.5487768255727,518,152
