pesticide,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
FLUAZINAM,12.419989700875,16.9283332069921,0.00980574226695665,9.7788168443419e-05,0.0216119059651688,3.33526592567295e-05,21.6119059651688,0.00028016406477019,4.45715557588939e-05,6.12858891684791e-05,1.82942952741729e-07,0.000236853677945813,0.000623058130596118,0,0
FLUBENDIAMIDE,48.2437879893797,3614.06929404681,4.1632798147984,0.874279168214972,0.103073140521933,0.0288286123550968,103.073140521933,0.0693879969133067,0.0693879969133067,0.0603373886202667,0.0762505460585788,0.00350444428855084,0.27886837279401,0,0
FLUDIOXONIL,97.5854491694558,1028.1845209887,0.0795533097433355,0.00462861171875869,0.151648997495815,0.0838845275669616,151.648997495815,0.000345883955405806,0.000198883274358339,0.00331472123930564,8.64709888514516e-05,0,0,0,0
FLUMIOXAZIN,140.318673776554,1243.53591768393,17.8424637987581,0.951003715054396,0.16630714844821,0.023831863022245,166.30714844821,0.00775759295598177,0.00302414640656916,20.9418589187301,50.9784679964516,0,0,7057,0
FLUOPICOLIDE,2.09059681213203,24.0672208120845,1.62092013583348,0.0343446583576568,0.00336342209025218,0.000637122204749412,3.36342209025218,0.00450255593287077,0.000900511186574155,0.0558937977873613,0.000506537542447962,0,0,0,0
FLUOPYRAM,78.5863894985542,5372.27943627358,122.259184145167,8.2302215166643,0.174958851152741,0.0205635533054088,174.958851152741,0.124754269535885,0.00122259184145167,0.108193968270059,0.0526979242005029,0,0,0,0
FLUPYRADIFURONE,31.2237647073495,675.622375128433,25.8640106142556,0.955203741847968,0.0661259270112269,0.00259799759700369,66.1259270112269,0.000366865398783767,0.000333299105853809,0.000258640106142556,0.000382038561510422,0,0,0,0
FLUTOLANIL,1.0320848640544,1.93899491319998,0.53341029405589,0.00294941392717305,0.0019441269620758,5.89582984644018e-06,1.94412696207579,9.87796840844241e-05,7.84426903023368e-05,0.000166690716892466,6.66762867569862e-05,0,0,0,0
FLUXAPYROXAD,45.315752206607,2350.76865520919,15.2898228242983,1.76292173204296,0.0899902381579667,0.00309141282684321,89.9902381579667,0.0328107785929147,0.0022551361097785,0.0218426040347118,0.00698165425767043,0,0,0,0
GAMMA-CYHALOTHRIN,0.218034173444258,0.263653772212349,0.000552597682926613,2.62743061234096e-06,0.000400383438498961,7.18178402137499e-07,0.400383438498961,0.0157885052264747,0.0122799485094803,1.93893923833899e-07,0.00108779071442247,0.000368398455284409,0.0295248367995857,0,0
GLUFOSINATE-AMMONIUM,711.057304242238,4048.10883238575,222.254561697956,4.09266554816818,0.846026512395413,0.01354778598533,846.026512395413,0.000313034593940784,0.00033271640972748,0.00477966799350444,0.151193579386365,0,0,0,0
GLYPHOSATE-TRIMESIUM,0.715999756406763,0.107763340238896,0.00386404656204191,1.06006856402318e-06,0.000840359000066513,4.18559271072669e-09,0.840359000066513,2.14669253446773e-09,3.22003880170159e-07,2.03370871686416e-07,3.22003880170159e-07,3.86404656204191e-07,1.23592998076539e-06,0,0
"GLYPHOSATE, DIAMMONIUM SALT",56.3521669355937,4.3988349431299,2.69024901096463,0.00280713555486424,0.0455972683284995,1.23939781939925e-06,45.5972683284995,2.69024901096463e-05,2.69024901096463e-05,0.000141592053208665,0.000224187417580386,0.000269024901096463,0.000688609352104805,0,0
"GLYPHOSATE, ISOPROPYLAMINE SALT",1032.68711018203,13431.7838016524,36.0421024267313,1.25858724046057,1.55774790619672,0.222419881613707,1557.74790619672,3.60060963304009e-05,7.65225104601514e-05,0.000494404697211677,0.000407716090800128,0,0,0,0
"GLYPHOSATE, MONOAMMONIUM SALT",2.24051287539733,1.64858768294195,0.233875266115242,0.00132974021310111,0.00234759138103244,3.01377253571595e-05,2.34759138103244,2.33875266115242e-06,2.33875266115242e-06,1.23092245323811e-05,1.94896055096035e-05,2.33875266115242e-05,5.98638619758136e-05,0,0
"GLYPHOSATE, POTASSIUM SALT",2984.90586264417,17114.4366016794,247.806660473727,10.1425644636992,3.18348993488764,0.383240461731181,3183.48993488764,0.00247806660473727,0.00247806660473727,0.0130424558144067,0.0206505550394773,0.0247806660473727,0.0634298101107313,0,0
HEXAZINONE,66.7322685342463,2690.81933138583,265.881928012186,13.4365594154223,0.0976410822537902,0.061585570470063,97.6410822537902,0.000830881025038081,0.0031280226824963,18.3366846904956,3.6928045557248,0,0,1517,0
IMAZALIL,0.0171284582768093,0.000824020332108773,0.00034707120504568,9.3039748336363e-08,2.98331393637559e-05,1.86173466667574e-08,0.0298331393637559,2.34507570976811e-07,9.91632014416227e-08,3.98932419592735e-07,0,0,0,0,0
"IMAZAMOX, AMMONIUM SALT",1.76431655819374,16.6227833792638,23.1046023518574,0.168703732434493,0.00270443419048826,6.29841236695878e-05,2.70443419048826,0.000238191776823272,0.000231046023518574,0.000793972589410908,2.1004183956234,0,0,6,0
IMIDACLOPRID,887.265997604114,16131.8480557331,327.501051725911,24.9658267088204,1.18517551552561,0.144525943000214,1185.17551552561,0.00394579580392663,0.0038529535497166,0.0327501051725911,0,5.95456457683474,0,0,723
INDAZIFLAM,58.4197273206419,1607.59462993273,16.9264731632645,0.974680477883921,0.107066789671154,0.00629328402787852,107.066789671154,0.0403011265792011,0.00171320578575551,0.0225686308843526,890.867008592866,0,0,60633,0
INDOXACARB,7.37140683745343,43.543555874872,0.227984763779757,0.00654221533410265,0.0135639117139008,0.000472195457041163,13.5639117139008,0.00134108684576327,0.00134108684576327,0.0028858830858197,0.00271410433071139,0,0,0,0
IPRODIONE,237.550616239833,1377.58361028345,85.3872429719139,1.55337998627687,0.384350808156746,0.0104961632759756,384.350808156746,0.0230776332356524,0.129374610563506,0.0474373572066188,0.0853872429719139,0,0,0,0
ISOXABEN,252.487886700498,2326.42152360598,26.183658732548,1.45773105713484,0.478138479780917,0.0156011833242036,478.138479780917,0.0300961594626989,0.0201412759481139,0.0187026133803915,2.38033261204982,0,0,227,0
KRESOXIM-METHYL,27.1218656171509,11.7842029285385,9.66450301766302,0.0140600998051876,0.0220339517710961,1.38288644716335e-05,22.0339517710961,0.0508658053561212,0.0519596936433496,0.153404809804175,0.0321079834473855,0,0,0,0
LAMBDA-CYHALOTHRIN,37.6136710334221,5894.95826291439,0.203407063910046,0.015184064361565,0.0808284444051884,0.0622468207422045,80.8284444051884,0.968605066238314,0.88437853873933,0.0406814127820092,0.400407606122138,0.135604709273364,2.42967733315516,0,0
LINDANE,0.0997228968239848,0.492857175798551,0.00703859539298919,0.000170907881380453,0.000146948147072943,2.51846300809179e-05,0.146948147072943,0.00242710185965144,4.39912212061824e-06,2.81543815719568e-06,0.000260688718258859,0.00017596488482473,0.00287097002301285,0,0
LINURON,19.3950536295713,194.006264612479,4.15641925341327,0.0898303981209525,0.0358637284000019,0.0022505605955864,35.8637284000019,0.00131949817568675,0.0134078040432686,0.259776203338329,0.24449525020078,0.000415641925341327,0.519414397683406,0,0
MALATHION,113.98293305329,48.9462940351646,4.04920862342291,0.0212981073570365,0.13958183686152,0.0011714293419791,139.58183686152,0.224956034634606,5.78458374774701,0.000311477586417147,0.000168717025975954,10.1230215585573,16.1330415355513,20,64
MANDIPROPAMID,8.55063828799038,9.03772081218533,21.7177085208676,0.00918007133796417,0.0117296945527616,0.000208109632870377,11.7296945527616,0.00748886500719572,0.00305883218603769,0.00109685396570038,0.00493584284565172,0,0,0,0
"MCPA, DIMETHYLAMINE SALT",193.532757816626,2253.90049094705,665.22799613548,14.5622486094856,0.400391288141487,0.0218542253644916,400.391288141487,0.0138589165861558,0.0162250730764751,4.15767497584675,5.11713843181138,0,0,59,0
METALAXYL,0.241861789208491,0.353902653863425,0.224430296049216,0.00080989413980586,0.000356957600136331,7.28696425704721e-06,0.356957600136331,0.0002337815583846,6.46773187461718e-05,0.000534357847736229,2.64035642410842e-06,0,0,0,0
METCONAZOLE,43.5478690174883,1651.40766457671,6.13582275381643,0.974881821461124,0.0880761117023498,0.00149096368322925,88.0761117023498,0.00292182035896021,0.0014609101794801,0.00360930750224496,0.0116429274265966,0,0,0,0
METHIDATHION,0.223866209559662,0.0110549639643784,0.011818344469238,1.14432134957509e-06,0.000101775984648555,5.14342706496125e-07,0.101775984648555,0.0011818344469238,0.00184661632331844,5.37197475874456e-07,0,0,0,0,0
METHIOCARB,792.503608384618,1363.97879427923,127.398919852172,1.05930206320903,1.33491852734994,0.152592335555419,1334.91852734994,0.19599833823411,15.9248649815215,0.0579085999328053,0,1.23688271701137,0,123,2
